,date,tweet_id,text,username
6480,2022-11-22 17:19:46+00:00,1595104766505660416,"@MayoIsSpicyy If this GUY from the HEG is as tough as he sounds and goes after Trump the way he has done others in the past, then YES! Trump is in deep trouble! Let's hope he isn't another talking smoke screen Like Garland",Jacquel48206879
6481,2022-11-22 17:19:46+00:00,1595104766442754054,@MayoIsSpicyy I love it 💕 Trump should be scared . Some of his thugs are hiding from him .,seaboyinc
6482,2022-11-22 17:19:46+00:00,1595104766241042432,"Breaking:

They Knew Trump, Arrest Them

😂😂😂😂😂😂😂😂😂😂

Several MAGA personalities and Trump world figures with ties to the Jan. 6 rally were fixtures at the launch of his 2024 campaign at his private Palm Beach club.

https://t.co/kWvld2PyAV",alan10000MAGA
6483,2022-11-22 17:19:46+00:00,1595104765612294146,"@RandelLentz @RSBNetwork I'm talking about the candidates
who weren't sure bets red or blue.
@GOP could tolerate a lot of things about Trump
except for his now failing brand.
Keep watching exodus of supporters
going forward.

Dems didn't need strong candidates,
running against election deniers is enough.",bobsopinions
6484,2022-11-22 17:19:45+00:00,1595104763422441472,It's not just Trump: Midterms show the religious right is an albatross around the GOP's neck via /r/atheism https://t.co/dEcmsjtdoW #atheist #humanist,Uncle_Jebus
6485,2022-11-22 17:19:45+00:00,1595104763301212160,@nagasai_6 @Trump__Uncle Chudaku dengey https://t.co/7v4i6vmu06,AlwaysPremSai
6486,2022-11-22 17:19:45+00:00,1595104761434574858,@BigBlueAZ2022 @JDCocchiarella @laurenboebert just like the dems did with Trump but no charges. Hunter will be convicted and go to prison.,MLahaze
6487,2022-11-22 17:19:45+00:00,1595104760553951233,"So yes do not mix my page with Trump,feminist,or Jews. Where is Hitler????",sirus8957
6488,2022-11-22 17:19:44+00:00,1595104758469365760,"@RTrevorson @shoethechildren @MikeHoltry96 @TomFitton @elonmusk Is it fun living in a world without laws and reason, because that's where anyone going about HB and not Trump himself lives",KalSpiro
6489,2022-11-22 17:19:44+00:00,1595104758456815616,@GeorgeTakei Anyone buying that you’re NOT obsessed with Donald Trump? 🙄,Hammer_tastic
6490,2022-11-22 17:19:43+00:00,1595104753880805377,They admired the trump lies. https://t.co/gKJ1dsOlwl,ilpomodoro2
6491,2022-11-22 17:19:43+00:00,1595104753260072961,"Republicans need to give Trump the Hoover treatment and cut the loser loose https://t.co/hcHftYVfNI via @YahooNews the hope may B 4 many is,time 2 stop writing 4 dem white house, pathological stupid choices&amp;close the boarders&amp;wasting money ""OPINION?""",harleywhopkins2
6492,2022-11-22 17:19:43+00:00,1595104752718811140,@papabear2049 @DashDobrofsky I always pray that Trump doesn’t choke on one of those big Macs..😉🍔,MrScott20020103
